"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",9,2,3,"Ambavala",1,1000,0.000103492108166711,103.492108166711
"2","Ambavala_2",0,0,4,"Ambavala",2,1000,0,0
"3","Ambavala_3",0,0,3,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",6,1,4,"Ambodihasina",1,1000,5.17460540833557e-05,51.7460540833557
"5","Ambodihasina_2",0,0,4,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",0,0,4,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",0,0,4,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",0,0,4,"Ambodimandresy",2,1000,0,0
"9","Ambodimandresy_3",0,0,4,"Ambodimandresy",3,1000,0,0
"10","Ambodivoara_1",12,3,48,"Ambodivoara",1,860,1.00283050549139e-05,10.0283050549139
"11","Ambodivoara_2",21,5,45,"Ambodivoara",2,1000,1.60987723814884e-05,16.0987723814884
"12","Ambodivoara_3",22,7,41,"Ambodivoara",3,1000,1.85107835745337e-05,18.5107835745337
"13","Ambodivoara_4",23,4,41,"Ambodivoara",4,1000,1.93521828279216e-05,19.3521828279216
"14","Ambodivoara_5",2,1,3,"Ambodivoara",5,1000,2.29982462592692e-05,22.9982462592692
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,0,4,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,0,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",0,0,4,"Androfiabe",1,1175,0,0
"19","Androfiabe_2",0,0,4,"Androfiabe",2,1250,0,0
"20","Androfiabe_3",0,0,4,"Androfiabe",3,1100,0,0
"21","Antanambe_1",0,0,4,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,1,4,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,1,4,"Antanambe",3,1000,0,0
"24","Befamatra_1",0,0,4,"Befamatra",1,635,0,0
"25","Befamatra_2",0,0,4,"Befamatra",2,1065,0,0
"26","Befamatra_3",6,1,3,"Befamatra",3,780,8.84547933048815e-05,88.4547933048815
"27","Betaolana_1",6,2,5,"Betaolana",1,1300,3.18437255897573e-05,31.8437255897573
"28","Betaolana_2",2,1,4,"Betaolana",2,1000,1.72486846944519e-05,17.2486846944519
"29","Betaolana_3",10,2,4,"Betaolana",3,1200,7.18695195602162e-05,71.8695195602162
