"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",1,1,4,"Ambavala",1,1000,1.21535472136814e-05,12.1535472136814
"2","Ambavala_2",3,3,4,"Ambavala",2,1000,3.64606416410443e-05,36.4606416410443
"3","Ambavala_3",3,3,4,"Ambavala",3,1000,3.64606416410443e-05,36.4606416410443
"4","Ambodihasina_1",6,5,2,"Ambodihasina",1,1000,0.000145842566564177,145.842566564177
"5","Ambodihasina_2",2,2,3,"Ambodihasina",2,1000,3.24094592364838e-05,32.4094592364838
"6","Ambodihasina_3",2,2,3,"Ambodihasina",3,1000,3.24094592364838e-05,32.4094592364838
"7","Ambodimandresy_1",3,3,3,"Ambodimandresy",1,1000,4.86141888547257e-05,48.6141888547257
"8","Ambodimandresy_2",1,1,3,"Ambodimandresy",2,1000,1.62047296182419e-05,16.2047296182419
"9","Ambodimandresy_3",0,0,3,"Ambodimandresy",3,1000,0,0
"10","Ambodivoara_1",22,20,25,"Ambodivoara",1,860,4.9744751386231e-05,49.744751386231
"11","Ambodivoara_2",22,22,26,"Ambodivoara",2,1000,4.11350828770756e-05,41.1350828770756
"12","Ambodivoara_3",16,16,21,"Ambodivoara",3,1000,3.70393819845529e-05,37.0393819845529
"13","Ambodivoara_4",25,21,24,"Ambodivoara",4,1000,5.06397800570059e-05,50.6397800570059
"14","Ambodivoara_5",3,3,3,"Ambodivoara",5,1000,4.86141888547257e-05,48.6141888547257
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",3,3,3,"AmbodivohitraKobahina",2,1000,4.86141888547257e-05,48.6141888547257
"17","AmbodivohitraKobahina_3",2,2,3,"AmbodivohitraKobahina",3,1000,3.24094592364838e-05,32.4094592364838
"18","Androfiabe_1",4,4,8,"Androfiabe",1,1175,2.06868888743514e-05,20.6868888743514
"19","Androfiabe_2",2,2,8,"Androfiabe",2,1250,9.72283777094514e-06,9.72283777094514
"20","Androfiabe_3",7,7,8,"Androfiabe",3,1100,3.86703774980773e-05,38.6703774980773
"21","Antanambe_1",0,0,3,"Antanambe",1,1000,0,0
"22","Antanambe_2",2,2,3,"Antanambe",2,1000,3.24094592364838e-05,32.4094592364838
"23","Antanambe_3",2,2,3,"Antanambe",3,1000,3.24094592364838e-05,32.4094592364838
"24","Befamatra_1",3,3,3,"Befamatra",1,635,7.65577777239775e-05,76.5577777239775
"25","Befamatra_2",1,1,3,"Befamatra",2,1065,1.52157085617295e-05,15.2157085617295
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",4,4,3,"Betaolana",1,1300,4.98607065176674e-05,49.8607065176674
"28","Betaolana_2",5,5,3,"Betaolana",2,1000,8.10236480912095e-05,81.0236480912095
"29","Betaolana_3",7,7,3,"Betaolana",3,1200,9.45275894397444e-05,94.5275894397444
