"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",3,3,4,"Ambavala",1,1000,4.47389438187631e-05,44.7389438187631
"2","Ambavala_2",2,1,4,"Ambavala",2,1000,2.9825962545842e-05,29.825962545842
"3","Ambavala_3",0,0,4,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",0,0,2,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",3,2,3,"Ambodihasina",2,1000,5.96519250916841e-05,59.6519250916841
"6","Ambodihasina_3",3,1,3,"Ambodihasina",3,1000,5.96519250916841e-05,59.6519250916841
"7","Ambodimandresy_1",1,1,3,"Ambodimandresy",1,1000,1.98839750305614e-05,19.8839750305614
"8","Ambodimandresy_2",0,0,3,"Ambodimandresy",2,1000,0,0
"9","Ambodimandresy_3",7,4,3,"Ambodimandresy",3,1000,0.00013918782521393,139.18782521393
"10","Ambodivoara_1",24,20,25,"Ambodivoara",1,860,6.65881954511822e-05,66.5881954511822
"11","Ambodivoara_2",20,15,26,"Ambodivoara",2,1000,4.58860962243724e-05,45.8860962243724
"12","Ambodivoara_3",7,5,21,"Ambodivoara",3,1000,1.98839750305614e-05,19.8839750305614
"13","Ambodivoara_4",32,22,24,"Ambodivoara",4,1000,7.95359001222454e-05,79.5359001222454
"14","Ambodivoara_5",0,0,3,"Ambodivoara",5,1000,0,0
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",1,1,3,"AmbodivohitraKobahina",2,1000,1.98839750305614e-05,19.8839750305614
"17","AmbodivohitraKobahina_3",9,6,3,"AmbodivohitraKobahina",3,1000,0.000178955775275052,178.955775275052
"18","Androfiabe_1",19,12,8,"Androfiabe",1,1175,0.000120573040078936,120.573040078936
"19","Androfiabe_2",3,3,8,"Androfiabe",2,1250,1.78955775275052e-05,17.8955775275052
"20","Androfiabe_3",4,3,8,"Androfiabe",3,1100,2.71145114053109e-05,27.1145114053109
"21","Antanambe_1",9,6,3,"Antanambe",1,1000,0.000178955775275052,178.955775275052
"22","Antanambe_2",3,2,3,"Antanambe",2,1000,5.96519250916841e-05,59.6519250916841
"23","Antanambe_3",2,2,3,"Antanambe",3,1000,3.97679500611227e-05,39.7679500611227
"24","Befamatra_1",0,0,3,"Befamatra",1,635,0,0
"25","Befamatra_2",2,1,3,"Befamatra",2,1065,3.7340798179458e-05,37.3407981794579
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",1,1,3,"Betaolana",1,1300,1.52953654081241e-05,15.2953654081241
"28","Betaolana_2",0,0,3,"Betaolana",2,1000,0,0
"29","Betaolana_3",4,3,3,"Betaolana",3,1200,6.62799167685379e-05,66.2799167685379
