"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",18,16,4,"Ambavala",1,1000,0.00021666243992052,216.66243992052
"2","Ambavala_2",10,10,4,"Ambavala",2,1000,0.000120368022178067,120.368022178067
"3","Ambavala_3",26,24,4,"Ambavala",3,1000,0.000312956857662973,312.956857662973
"4","Ambodihasina_1",3,3,2,"Ambodihasina",1,1000,7.22208133068399e-05,72.2208133068399
"5","Ambodihasina_2",8,6,3,"Ambodihasina",2,1000,0.000128392556989938,128.392556989938
"6","Ambodihasina_3",9,7,3,"Ambodihasina",3,1000,0.00014444162661368,144.44162661368
"7","Ambodimandresy_1",1,1,3,"Ambodimandresy",1,1000,1.60490696237422e-05,16.0490696237422
"8","Ambodimandresy_2",5,4,3,"Ambodimandresy",2,1000,8.0245348118711e-05,80.245348118711
"9","Ambodimandresy_3",5,5,3,"Ambodimandresy",3,1000,8.0245348118711e-05,80.245348118711
"10","Ambodivoara_1",7,6,6,"Ambodivoara",1,860,6.53159810268578e-05,65.3159810268578
"11","Ambodivoara_2",37,36,8,"Ambodivoara",2,1000,0.000222680841029423,222.680841029423
"12","Ambodivoara_3",22,17,4,"Ambodivoara",3,1000,0.000264809648791746,264.809648791746
"13","Ambodivoara_4",20,17,4,"Ambodivoara",4,1000,0.000240736044356133,240.736044356133
"14","Ambodivoara_5",1,1,3,"Ambodivoara",5,1000,1.60490696237422e-05,16.0490696237422
"15","AmbodivohitraKobahina_1",8,6,3,"AmbodivohitraKobahina",1,1000,0.000128392556989938,128.392556989938
"16","AmbodivohitraKobahina_2",14,14,3,"AmbodivohitraKobahina",2,1000,0.000224686974732391,224.686974732391
"17","AmbodivohitraKobahina_3",10,11,3,"AmbodivohitraKobahina",3,1000,0.000160490696237422,160.490696237422
"18","Androfiabe_1",30,27,5,"Androfiabe",1,1175,0.000245858087853072,245.858087853072
"19","Androfiabe_2",19,18,5,"Androfiabe",2,1250,0.000146367514968529,146.367514968529
"20","Androfiabe_3",49,47,5,"Androfiabe",3,1100,0.000428947860852746,428.947860852746
"21","Antanambe_1",15,9,3,"Antanambe",1,1000,0.000240736044356133,240.736044356133
"22","Antanambe_2",10,9,3,"Antanambe",2,1000,0.000160490696237422,160.490696237422
"23","Antanambe_3",7,6,3,"Antanambe",3,1000,0.000112343487366195,112.343487366195
"24","Befamatra_1",16,13,3,"Befamatra",1,635,0.00040438600626752,404.38600626752
"25","Befamatra_2",12,4,3,"Befamatra",2,1065,0.000180834587309771,180.834587309771
"26","Befamatra_3",3,3,3,"Befamatra",3,780,6.1727190860547e-05,61.727190860547
"27","Betaolana_1",0,0,NA,"Betaolana",1,1300,NA,NA
"28","Betaolana_2",0,0,NA,"Betaolana",2,1000,NA,NA
"29","Betaolana_3",0,0,NA,"Betaolana",3,1200,NA,NA
