"","Lat","Long","Site","Type","Date","Jour","Mois","An","Transect","Repetition","Depart_h","Arrive_h","Obs_h","Nom_sientifique","Genus","Spp","Nom_vernaculari","N_ind","N_juv","N_ad","N_m","N_f","Elevation_obs","Angle","Dis","Hauteur","Comportement","Plante","Support","Commentaire","Photo_ID"
"1","-14.51841",49.43352,"Ambodivoara","Nocturnal",2020-12-14,14,12,2020,"2",1,"20H 2M 0S","21H 42M 0S","20H 29M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1104,40,20,20,"deplacement","","","",""
"2","-14.51784",49.43311,"Ambodivoara","Nocturnal",2020-12-14,14,12,2020,"2",1,"20H 2M 0S","21H 42M 0S","21H 11M 0S","Avahi_laniger","Avahi","laniger","Fotsife","1",0,1,0,0,1121,50,18,15,"Repos","","Ocotea racemosa","","331-334"
"3","-14.512927",49.430256,"Ambodivoara","Nocturnal",2020-12-15,15,12,2020,"5",1,"18H 37M 0S","21H 46M 0S","18H 58M 0S","Allocebus_trichotis","Allocebus","trichotis",NA,"1",0,1,0,0,1052,90,4,4,"Repos, nourritur(insect)","Liane(Vahampingitra)","","","357-364"
"4","-14.520311",49.434013,"Ambodivoara","Nocturnal",2020-12-15,15,12,2020,"5",1,"18H 37M 0S","21H 46M 0S","19H 8M 0S","Allocebus_trichotis","Allocebus","trichotis",NA,"1",0,1,0,0,1075,45,20,15,"Repos","Rotro","Rotro","",""
"5","-14.519756",49.43436,"Ambodivoara","Nocturnal",2020-12-15,15,12,2020,"5",1,"18H 37M 0S","21H 46M 0S","19H 23M 0S","Allocebus_trichotis","Allocebus","trichotis",NA,"1",0,1,0,0,1091,80,6,6,"Repos","","","",""
"6","0",0,"Ambodivoara","Nocturnal",2020-12-15,15,12,2020,"5",1,"18H 37M 0S","21H 46M 0S","20H 22M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri",NA,"1",0,1,0,0,1042,45,25,10,"Repos","","","",""
"7","0",0,"Ambodivoara","Nocturnal",2020-12-15,15,12,2020,"5",1,"18H 37M 0S","21H 46M 0S","20H 24M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri",NA,"1",0,1,0,0,1042,60,2,1,"Deplacement rapide","","","",""
"8","-14.516306",49.430146,"Ambodivoara","Diurnal",2020-12-16,16,12,2020,"1",1,"13H 27M 0S","16H 18M 0S","14H 23M 0S","Propithecus_candidus","Propithecus","candidus","Simpona","3",1,2,1,1,1211,60,8,6,"Alimentation/ deplacement","Rotro(Eugenia emirnense)","Rotro(Eugenia emirnense)"," ",""
"9","-14.51863",49.43365,"Ambodivoara","Diurnal",2020-12-16,16,12,2020,"2",1,"14H 11M 0S","16H 2M 0S","14H 20M 0S","Eulemur_rubriventer","Eulemur","rubriventer","Tongono","2",0,2,1,1,1077,30,20,15,"Repos","","Trotroko ala"," 1 trace de P. candidus sur Hompa( Alt: 1131m)","16-19"
"10","-14.51648",49.43316,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","18H 41M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1207,60,5,7,"deplacement","","Rotro(Eugenia emirnense)","",""
"11","-14.51635",49.43294,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","18H 58M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1260,45,15,20,"deplacement","","","",""
"12","-14.51639",49.43287,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","19H 10M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1227,40,15,22,"deplacement","","Tavolo(Cryptocarya acuminata)","",""
"13","-14.5165",49.4365,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","19H 22M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1226,45,25,30,"deplacement/alimentation","","","",""
"14","-14.51654",49.43289,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","19H 30M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1234,70,10,15,"deplacement","","Fandragna","","28-29"
"15","-14.51878",49.43365,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","21H 5M 0S","Lepilemur_seali","Lepilemur","seali",NA,"1",0,1,0,0,1135,90,4,8,"Repos","","Anivona(Ranenea sambiranensis)","","30-63"
"16","-14.51959",49.43428,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","21H 35M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","tsidy","1",0,1,0,0,1089,80,8,8,"Alimentation(Papillon)","Voatsilana(Polycias fraxinifolia)","Voatsilana(Polycias fraxinifolia)","","64-71"
"17","-14.5202",49.43407,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","21H 53M 0S","Avahi_laniger","Avahi","laniger","Fotsife","1",0,1,0,0,1091,70,18,18,"Repos","","Vongo(Garcinia decipiens)","","72-77"
"18","0",49.43313,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"2",2,"18H 26M 0S","22H 17M 0S","22H 7M 0S","Cheirogaleus_crossleyi","Cheirogaleus","crossleyi",NA,"1",0,1,0,0,1047,30,15,25,"Deplacement","","","",""
"19","0",0,"Ambodivoara","Nocturnal",2020-12-16,16,12,2020,"3",1,"18H 18M 0S","20H 36M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,"","",""
"20","-14.519663",49.434325,"Ambodivoara","Diurnal",2020-12-17,17,12,2020,"5",1,"14H 41M 0S","17H 28M 0S","15H 8M 0S","Eulemur_albifrons","Eulemur","albifrons","Komba","2",0,2,1,1,1087,60,15,8,"Deplacement rapide","","Tavolo(Cryptocarya acuminata)","",""
"21","-14.519663",49.434325,"Ambodivoara","Diurnal",2020-12-17,17,12,2020,"5",1,"14H 41M 0S","17H 28M 0S","15H 9M 0S","Propithecus_candidus","Propithecus","candidus","Simpona","2",0,2,1,1,1087,80,8,6,"Repos","","Hitsankitsana","",""
"22","0",0,"Ambodivoara","Diurnal",2020-12-17,17,12,2020,"1",2,"14H 25M 0S","16H 20M 0S",NA,NA,NA,NA,NA,"0",0,0,0,0,NA,NA,NA,NA,NA,NA,"","",""
"23","-14.51548",49.43002,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","19H 44M 0S","Avahi_laniger","Avahi","laniger","Fotsife","1",0,1,0,0,1250,40,25,20,"deplacement","","Tavolo(Cryptocarya acuminata)","","14-16"
"24","-14.51548",49.43002,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","19H 44M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1250,90,4,4,"deplacement","","Rotro(Eugenia emirnense)","",""
"25","-14.5156",49.42987,"Ambodivoara","Nocturnal",2020-12-17,17,12,2020,"1",1,"18H 36M 0S","21H 30M 0S","19H 58M 0S","Microcebus_mittermeieri","Microcebus","mittermeieri","Tsidy","1",0,1,0,0,1262,35,30,22,"Repos/deplacement","","","",""
