Site,Type,Transect,Repetition,Genus,Spp,N_ind,N_juv,N_ad,N_m,N_f,Angle,Dis
Ambodivoara,Nocturnal,3,4,Avahi,laniger,1,NA,NA,NA,NA,2.094395102,10
Ambodivoara,Nocturnal,3,5,Allocebus,trichotis,1,NA,NA,NA,NA,4.241150082,7
Ambodivoara,Nocturnal,3,2,Propithecus,candidus,3,NA,NA,NA,NA,1.483529864,23
Ambodivoara,Nocturnal,3,2,Propithecus,candidus,3,NA,NA,NA,NA,1.221730476,20
Ambodivoara,Nocturnal,3,3,Eulemur,rubriventer,1,NA,NA,NA,2,1.570796327,15
Ambodivoara,Diurnal,1,4,Eulemur,albifrons,6,1,NA,3,3,1.221730476,20
Ambodivoara,Diurnal,1,4,Hapalemur,occidentalis,3,NA,NA,NA,NA,0.34906585,10
Ambodivoara,Diurnal,3,5,Hapalemur,occidentalis,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Nocturnal,3,2,Eulemur,rubriventer,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Nocturnal,3,3,Eulemur,rubriventer,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,2,5,Eulemur,albifrons,NA,NA,NA,1,NA,1.221730476,16
Ambodivoara,Diurnal,1,5,Propithecus,candidus,3,NA,NA,1,2,1.396263402,20
Ambodivoara,Diurnal,1,5,Hapalemur,occidentalis,1,NA,NA,NA,NA,0.34906585,15
Ambodivoara,Diurnal,3,2,Eulemur,rubriventer,1,NA,NA,1,NA,1.047197551,18
Ambodivoara,Diurnal,3,3,Eulemur,rubriventer,4,NA,NA,1,3,1.221730476,12
Ambodivoara,Diurnal,3,3,Hapalemur,occidentalis,5,NA,NA,NA,NA,1.396263402,15
Ambodivoara,Diurnal,3,4,Propithecus,candidus,2,1,NA,1,1,0,0
Ambodivoara,Diurnal,3,4,Eulemur,rubriventer,2,1,NA,1,1,1.570796327,23
Ambodivoara,Diurnal,1,8,Propithecus,candidus,3,NA,NA,1,2,0,0
Ambodivoara,Diurnal,3,5,Eulemur,albifrons,5,NA,NA,1,4,1.745329252,15
Ambodivoara,Diurnal,2,9,Eulemur,rubriventer,3,NA,NA,1,2,1.570796327,8
Ambodivoara,Diurnal,1,9,Propithecus,candidus,3,NA,NA,1,2,0,0
Ambodivoara,Diurnal,4,1,Eulemur,albifrons,6,NA,NA,3,3,5.235987756,10
Ambodivoara,Diurnal,3,6,Eulemur,rubriventer,2,1,NA,1,1,5.061454831,10
Ambodivoara,Diurnal,3,6,Eulemur,albifrons,2,NA,NA,1,1,5.934119457,8
Ambodivoara,Diurnal,1,10,Hapalemur,occidentalis,1,NA,NA,1,NA,1.570796327,10
Ambodivoara,Diurnal,1,10,Eulemur,rubriventer,2,NA,NA,1,1,5.585053606,12
Ambodivoara,Diurnal,1,10,Eulemur,rubriventer,2,NA,NA,1,1,1.396263402,8
Ambodivoara,Diurnal,3,8,Eulemur,rubriventer,1,NA,NA,1,NA,1.570796327,15
Ambodivoara,Diurnal,1,11,Propithecus,candidus,1,NA,NA,NA,NA,5.026548246,20
Ambodivoara,Diurnal,1,12,Eulemur,rubriventer,4,NA,NA,2,2,0,2
Ambodivoara,Diurnal,4,3,Propithecus,candidus,2,0,NA,1,1,0,2
Ambodivoara,Diurnal,4,4,Propithecus,candidus,3,NA,NA,1,2,0,0
Ambodivoara,Diurnal,1,14,Propithecus,candidus,3,NA,NA,1,2,5.585053606,10
Ambodivoara,Diurnal,4,6,Eulemur,albifrons,5,NA,NA,2,3,5.235987756,10
Ambodivoara,Diurnal,1,16,Hapalemur,occidentalis,1,NA,NA,NA,NA,1.047197551,20
Ambodivoara,Diurnal,2,15,Eulemur,rubriventer,NA,NA,NA,1,NA,0,0
Ambodivoara,Diurnal,2,19,Eulemur,rubriventer,1,NA,NA,1,NA,0,0
Ambodivoara,Diurnal,1,19,Eulemur,rubriventer,2,NA,NA,1,1,0,0
Ambodivoara,Diurnal,2,19,Eulemur,rubriventer,2,NA,NA,NA,NA,1.570796327,20
Ambodivoara,Diurnal,1,21,Eulemur,rubriventer,2,NA,NA,1,1,0,0
Ambodivoara,Diurnal,1,21,Propithecus,candidus,3,NA,NA,1,2,1.570796327,7
Ambodivoara,Diurnal,1,22,Eulemur,albifrons,5,NA,NA,3,2,4.974188368,5
Ambodivoara,Diurnal,1,25,Propithecus,candidus,3,NA,NA,1,2,4.36332313,4
Ambodivoara,Diurnal,4,18,Propithecus,candidus,3,NA,NA,1,2,0.698131701,3
Ambodivoara,Diurnal,4,18,Eulemur,albifrons,1,NA,NA,1,NA,5.061454831,10
Ambodivoara,Diurnal,3,21,Eulemur,rubriventer,3,NA,NA,2,1,2.094395102,10
Ambodivoara,Nocturnal,3,1,Lepilemur,seali,1,NA,NA,NA,NA,0.523598776,8
Ambodivoara,Nocturnal,3,1,Cheirogaleus,crossleyi,1,NA,NA,NA,NA,1.221730476,11
Ambodivoara,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.261799388,3
Ambodivoara,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,1.396263402,12
Ambodivoara,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,1.553343034,7
Ambodivoara,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,1.047197551,15
Ambodivoara,Nocturnal,3,1,Avahi,laniger,2,NA,NA,NA,NA,0.698131701,15
Ambodivoara,Nocturnal,1,3,Avahi,laniger,2,NA,NA,NA,NA,0.698131701,16
Ambodivoara,Nocturnal,1,3,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.610865238,20
Ambodivoara,Nocturnal,1,3,Lepilemur,seali,1,NA,NA,NA,NA,0.34906585,12
Ambodivoara,Nocturnal,1,3,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.698131701,12
Ambodivoara,Nocturnal,1,3,Allocebus,trichotis,1,NA,NA,NA,NA,0.872664626,4
Ambodivoara,Nocturnal,2,5,Allocebus,trichotis,1,NA,NA,NA,NA,0.785398163,3
Ambodivoara,Nocturnal,2,5,Allocebus,trichotis,1,NA,NA,NA,NA,0.523598776,7
Ambodivoara,Nocturnal,2,5,Avahi,laniger,1,NA,NA,NA,NA,1.308996939,20
Ambodivoara,Nocturnal,2,5,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.785398163,10
Ambodivoara,Nocturnal,2,5,Avahi,laniger,1,NA,NA,NA,NA,0.34906585,12
Ambodivoara,Nocturnal,2,5,Allocebus,trichotis,1,NA,NA,NA,NA,0.523598776,8
Ambodivoara,Nocturnal,2,6,Microcebus,mittermeieri,2,NA,NA,NA,NA,0,0
