"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",2,1,4,"Ambavala",1,1000,2.4473369715879e-05,24.473369715879
"2","Ambavala_2",3,3,4,"Ambavala",2,1000,3.67100545738185e-05,36.7100545738185
"3","Ambavala_3",3,2,4,"Ambavala",3,1000,3.67100545738185e-05,36.7100545738185
"4","Ambodihasina_1",0,0,2,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",0,0,3,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",0,0,3,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",0,0,3,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",2,1,3,"Ambodimandresy",2,1000,3.2631159621172e-05,32.631159621172
"9","Ambodimandresy_3",1,1,3,"Ambodimandresy",3,1000,1.6315579810586e-05,16.315579810586
"10","Ambodivoara_1",18,16,25,"Ambodivoara",1,860,4.09786655707741e-05,40.9786655707741
"11","Ambodivoara_2",17,16,26,"Ambodivoara",2,1000,3.20036373207648e-05,32.0036373207648
"12","Ambodivoara_3",34,32,21,"Ambodivoara",3,1000,7.9247101937132e-05,79.247101937132
"13","Ambodivoara_4",17,17,24,"Ambodivoara",4,1000,3.46706070974953e-05,34.6706070974952
"14","Ambodivoara_5",2,1,3,"Ambodivoara",5,1000,3.2631159621172e-05,32.631159621172
"15","AmbodivohitraKobahina_1",4,4,3,"AmbodivohitraKobahina",1,1000,6.5262319242344e-05,65.262319242344
"16","AmbodivohitraKobahina_2",4,4,3,"AmbodivohitraKobahina",2,1000,6.5262319242344e-05,65.262319242344
"17","AmbodivohitraKobahina_3",10,8,3,"AmbodivohitraKobahina",3,1000,0.00016315579810586,163.15579810586
"18","Androfiabe_1",13,11,8,"Androfiabe",1,1175,6.76922992141334e-05,67.6922992141334
"19","Androfiabe_2",22,20,8,"Androfiabe",2,1250,0.000107682826749868,107.682826749868
"20","Androfiabe_3",7,7,8,"Androfiabe",3,1100,3.89349063661711e-05,38.9349063661711
"21","Antanambe_1",1,1,3,"Antanambe",1,1000,1.6315579810586e-05,16.315579810586
"22","Antanambe_2",4,3,3,"Antanambe",2,1000,6.5262319242344e-05,65.262319242344
"23","Antanambe_3",1,1,3,"Antanambe",3,1000,1.6315579810586e-05,16.315579810586
"24","Befamatra_1",0,0,3,"Befamatra",1,635,0,0
"25","Befamatra_2",1,1,3,"Befamatra",2,1065,1.53197932493765e-05,15.3197932493765
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",2,2,3,"Betaolana",1,1300,2.51008920162862e-05,25.1008920162862
"28","Betaolana_2",3,2,3,"Betaolana",2,1000,4.8946739431758e-05,48.946739431758
"29","Betaolana_3",4,4,3,"Betaolana",3,1200,5.43852660352867e-05,54.3852660352867
