"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",4,4,4,"Ambavala",1,1000,8.77537284696705e-05,87.7537284696705
"2","Ambavala_2",6,6,4,"Ambavala",2,1000,0.000131630592704506,131.630592704506
"3","Ambavala_3",2,2,4,"Ambavala",3,1000,4.38768642348352e-05,43.8768642348352
"4","Ambodihasina_1",0,0,2,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",1,1,3,"Ambodihasina",2,1000,2.92512428232235e-05,29.2512428232235
"6","Ambodihasina_3",0,0,3,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",1,1,3,"Ambodimandresy",1,1000,2.92512428232235e-05,29.2512428232235
"8","Ambodimandresy_2",2,2,3,"Ambodimandresy",2,1000,5.8502485646447e-05,58.502485646447
"9","Ambodimandresy_3",7,7,3,"Ambodimandresy",3,1000,0.000204758699762564,204.758699762564
"10","Ambodivoara_1",29,29,25,"Ambodivoara",1,860,0.000118365494214904,118.365494214904
"11","Ambodivoara_2",22,21,26,"Ambodivoara",2,1000,7.42531548589519e-05,74.253154858952
"12","Ambodivoara_3",25,25,21,"Ambodivoara",3,1000,0.000104468724368655,104.468724368655
"13","Ambodivoara_4",21,20,24,"Ambodivoara",4,1000,7.67845124109617e-05,76.7845124109617
"14","Ambodivoara_5",0,0,3,"Ambodivoara",5,1000,0,0
"15","AmbodivohitraKobahina_1",4,4,3,"AmbodivohitraKobahina",1,1000,0.000117004971292894,117.004971292894
"16","AmbodivohitraKobahina_2",5,5,3,"AmbodivohitraKobahina",2,1000,0.000146256214116117,146.256214116117
"17","AmbodivohitraKobahina_3",8,8,3,"AmbodivohitraKobahina",3,1000,0.000234009942585788,234.009942585788
"18","Androfiabe_1",15,15,8,"Androfiabe",1,1175,0.000140032545430325,140.032545430325
"19","Androfiabe_2",19,19,8,"Androfiabe",2,1250,0.000166732084092374,166.732084092374
"20","Androfiabe_3",15,15,8,"Androfiabe",3,1100,0.000149580218982393,149.580218982393
"21","Antanambe_1",8,6,3,"Antanambe",1,1000,0.000234009942585788,234.009942585788
"22","Antanambe_2",1,1,3,"Antanambe",2,1000,2.92512428232235e-05,29.2512428232235
"23","Antanambe_3",1,1,3,"Antanambe",3,1000,2.92512428232235e-05,29.2512428232235
"24","Befamatra_1",3,3,3,"Befamatra",1,635,0.000138194847983733,138.194847983733
"25","Befamatra_2",2,2,3,"Befamatra",2,1065,5.49319114051145e-05,54.9319114051145
"26","Befamatra_3",2,2,3,"Befamatra",3,780,7.50031867262141e-05,75.0031867262141
"27","Betaolana_1",1,1,3,"Betaolana",1,1300,2.25009560178642e-05,22.5009560178642
"28","Betaolana_2",7,7,3,"Betaolana",2,1000,0.000204758699762564,204.758699762564
"29","Betaolana_3",2,2,3,"Betaolana",3,1200,4.87520713720392e-05,48.7520713720392
