"","Site_Transect","Nind","NObs","NRep","Site","Transect","Length","Density","Density_km2"
"1","Ambavala_1",0,0,3,"Ambavala",1,1000,0,0
"2","Ambavala_2",0,0,4,"Ambavala",2,1000,0,0
"3","Ambavala_3",0,0,3,"Ambavala",3,1000,0,0
"4","Ambodihasina_1",0,0,4,"Ambodihasina",1,1000,0,0
"5","Ambodihasina_2",0,0,4,"Ambodihasina",2,1000,0,0
"6","Ambodihasina_3",0,0,4,"Ambodihasina",3,1000,0,0
"7","Ambodimandresy_1",0,0,4,"Ambodimandresy",1,1000,0,0
"8","Ambodimandresy_2",0,0,4,"Ambodimandresy",2,1000,0,0
"9","Ambodimandresy_3",5,2,4,"Ambodimandresy",3,1000,4.96711807908366e-05,49.6711807908366
"10","Ambodivoara_1",20,9,48,"Ambodivoara",1,860,1.9252395655363e-05,19.252395655363
"11","Ambodivoara_2",21,11,45,"Ambodivoara",2,1000,1.85439074952457e-05,18.5439074952457
"12","Ambodivoara_3",34,16,41,"Ambodivoara",3,1000,3.29525882319697e-05,32.9525882319697
"13","Ambodivoara_4",15,7,41,"Ambodivoara",4,1000,1.45379065729278e-05,14.5379065729278
"14","Ambodivoara_5",3,1,3,"Ambodivoara",5,1000,3.97369446326693e-05,39.7369446326693
"15","AmbodivohitraKobahina_1",0,0,3,"AmbodivohitraKobahina",1,1000,0,0
"16","AmbodivohitraKobahina_2",0,0,4,"AmbodivohitraKobahina",2,1000,0,0
"17","AmbodivohitraKobahina_3",0,0,3,"AmbodivohitraKobahina",3,1000,0,0
"18","Androfiabe_1",0,0,4,"Androfiabe",1,1175,0,0
"19","Androfiabe_2",7,1,4,"Androfiabe",2,1250,5.5631722485737e-05,55.631722485737
"20","Androfiabe_3",0,0,4,"Androfiabe",3,1100,0,0
"21","Antanambe_1",0,0,4,"Antanambe",1,1000,0,0
"22","Antanambe_2",0,0,4,"Antanambe",2,1000,0,0
"23","Antanambe_3",0,0,4,"Antanambe",3,1000,0,0
"24","Befamatra_1",7,2,4,"Befamatra",1,635,0.000109511264735703,109.511264735703
"25","Befamatra_2",0,0,4,"Befamatra",2,1065,0,0
"26","Befamatra_3",0,0,3,"Befamatra",3,780,0,0
"27","Betaolana_1",0,0,5,"Betaolana",1,1300,0,0
"28","Betaolana_2",0,0,4,"Betaolana",2,1000,0,0
"29","Betaolana_3",0,0,4,"Betaolana",3,1200,0,0
