"","SiteTransect","E. albifrons","A. trichotis","A. laniger","C. crossleyi","L. seali","E. rubriventer","P. candidus","M. lehilahytsara","H. occidentalis"
"1","A1",103.49,12.15,44.74,216.66,24.47,0,0,56.72,0
"2","A2",0,36.46,29.83,120.37,36.71,0,0,85.08,0
"3","A3",0,36.46,0,312.96,36.71,0,0,28.36,0
"4","B1",51.75,145.84,0,72.22,0,0,0,0,0
"5","B2",0,32.41,59.65,128.39,0,0,0,18.91,0
"6","B3",0,32.41,59.65,144.44,0,0,45.79,0,0
"7","C1",0,48.61,19.88,16.05,0,0,0,18.91,0
"8","C2",0,16.2,0,80.25,32.63,0,0,37.81,0
"9","C3",0,0,139.19,80.25,16.32,49.67,0,132.35,0
"10","D1",10.03,49.74,66.59,65.32,40.98,19.25,32.17,98.93,4.9
"11","D2",16.87,41.14,45.89,222.68,32,19.43,0,56.72,0.64
"12","D3",18.51,37.04,19.88,264.81,79.25,32.95,22.34,0,14.08
"13","D4",19.35,50.64,79.54,240.74,34.67,14.54,13.4,14.18,3.52
"14","D5",23,48.61,0,16.05,32.63,39.74,30.53,0,0
"15","E1",0,0,0,128.39,65.26,0,0,75.63,0
"16","E2",0,48.61,19.88,224.69,65.26,0,0,94.54,0
"17","E3",0,32.41,178.96,160.49,163.16,0,0,151.26,0
"18","F1",0,20.69,120.57,245.86,67.69,0,0,144.82,0
"19","F2",0,9.72,17.9,146.37,107.68,55.63,0,163.36,0
"20","F3",0,38.67,27.11,428.95,38.93,0,0,123.76,0
"21","G1",0,0,178.96,240.74,16.32,0,0,151.26,0
"22","G2",0,32.41,59.65,160.49,65.26,0,0,18.91,0
"23","G3",0,32.41,39.77,112.34,16.32,0,0,18.91,0
"24","I1",0,76.56,0,404.39,0,109.51,0,89.32,0
"25","I2",0,15.22,37.34,180.83,15.32,0,0,35.51,0
"26","I3",88.45,0,0,61.73,0,0,0,48.48,0
"27","H1",31.84,49.86,15.3,NA,25.1,0,0,NA,0
"28","H2",17.25,81.02,0,NA,48.95,0,0,NA,0
"29","H3",71.87,94.53,66.28,NA,54.39,0,19.08,NA,0
