"","SiteTransect","E. albifrons","A. trichotis","A. laniger","C. crossleyi","L. seali","E. rubriventer","P. candidus","M. lehilahytsara","H. occidentalis"
"1","A1",103,12,45,217,24,0,0,67,0
"2","A2",0,36,30,120,37,0,0,101,0
"3","A3",0,36,0,313,37,0,0,34,0
"4","B1",52,146,0,72,0,0,0,0,0
"5","B2",0,32,60,128,0,0,0,22,0
"6","B3",0,32,60,144,0,0,46,0,0
"7","C1",0,49,20,16,0,0,0,22,0
"8","C2",0,16,0,80,33,0,0,45,0
"9","C3",0,0,139,80,16,50,0,157,0
"10","D1",10,50,67,65,41,19,32,104,5
"11","D2",17,41,46,223,32,19,0,67,1
"12","D3",19,37,20,265,79,33,22,0,14
"13","D4",19,51,80,241,35,15,13,17,4
"14","D5",23,49,0,16,33,40,31,0,0
"15","E1",0,0,0,128,65,0,0,90,0
"16","E2",0,49,20,225,65,0,0,112,0
"17","E3",0,32,179,160,163,0,0,180,0
"18","F1",0,21,121,246,68,0,0,161,0
"19","F2",0,10,18,146,108,56,0,183,0
"20","F3",0,39,27,429,39,0,0,147,0
"21","G1",0,0,179,241,16,0,0,180,0
"22","G2",0,32,60,160,65,0,0,22,0
"23","G3",0,32,40,112,16,0,0,22,0
"24","I1",0,77,0,404,0,110,0,71,0
"25","I2",0,15,37,181,15,0,0,42,0
"26","I3",88,0,0,62,0,0,0,58,0
"27","H1",32,50,15,NA,25,0,0,NA,0
"28","H2",17,81,0,NA,49,0,0,NA,0
"29","H3",72,95,66,NA,54,0,19,NA,0
