"","Species","Variable","Estimate","Std. Error","P-value"
"(Intercept)","A. trichotis","(Intercept)",5.511,0.54,0
"ForestLossProp","A. trichotis","ForestLossProp",0.912,0.701,0.203
"Elevation","A. trichotis","Elevation",-0.219,0.435,0.624
"Ruggedness","A. trichotis","Ruggedness",-0.13,0.385,0.744
"CanopyHeight","A. trichotis","CanopyHeight",0.047,0.298,0.881
"(Intercept)1","A. laniger","(Intercept)",5.379,0.779,0
"CanopyHeight1","A. laniger","CanopyHeight",0.427,0.721,0.565
"Elevation1","A. laniger","Elevation",-0.287,0.625,0.658
"ForestLossProp1","A. laniger","ForestLossProp",0.332,0.673,0.634
"Ruggedness1","A. laniger","Ruggedness",-0.342,0.683,0.628
"(Intercept)2","C. crossleyi","(Intercept)",12.461,0.882,0
"Ruggedness2","C. crossleyi","Ruggedness",-0.472,0.79,0.564
"CanopyHeight2","C. crossleyi","CanopyHeight",-0.324,0.68,0.647
"ForestLossProp2","C. crossleyi","ForestLossProp",0.331,0.696,0.648
"Elevation2","C. crossleyi","Elevation",-0.019,0.513,0.972
"(Intercept)3","E. albifrons","(Intercept)",2.178,0.833,0.013
"Elevation3","E. albifrons","Elevation",0.7,0.786,0.384
"CanopyHeight3","E. albifrons","CanopyHeight",0.193,0.481,0.699
"Ruggedness3","E. albifrons","Ruggedness",0.071,0.437,0.877
"ForestLossProp3","E. albifrons","ForestLossProp",-0.03,0.363,0.937
"(Intercept)4","E. rubriventer","(Intercept)",1.625,0.635,0.015
"ForestLossProp4","E. rubriventer","ForestLossProp",0.776,0.716,0.29
"CanopyHeight4","E. rubriventer","CanopyHeight",0.073,0.395,0.86
"Elevation4","E. rubriventer","Elevation",0.062,0.339,0.861
"Ruggedness4","E. rubriventer","Ruggedness",0.083,0.363,0.826
"(Intercept)5","H. occidentalis","(Intercept)",0.24,0.177,0.196
"ForestLossProp5","H. occidentalis","ForestLossProp",0.374,0.164,0.026
"CanopyHeight5","H. occidentalis","CanopyHeight",0.045,0.103,0.665
"Elevation5","H. occidentalis","Elevation",0.01,0.052,0.856
"Ruggedness5","H. occidentalis","Ruggedness",-0.005,0.048,0.923
"(Intercept)6","L. seali","(Intercept)",5.167,1.095,0
"Ruggedness6","L. seali","Ruggedness",-0.394,0.576,0.504
"CanopyHeight6","L. seali","CanopyHeight",0.371,0.509,0.474
"Elevation6","L. seali","Elevation",-0.167,0.383,0.672
"ForestLossProp6","L. seali","ForestLossProp",0.063,0.246,0.806
"(Intercept)7","M. lehilahytsara","(Intercept)",7.519,1.148,0
"CanopyHeight7","M. lehilahytsara","CanopyHeight",-0.471,0.808,0.57
"ForestLossProp7","M. lehilahytsara","ForestLossProp",-0.445,0.76,0.571
"Ruggedness7","M. lehilahytsara","Ruggedness",-0.15,0.634,0.822
"Elevation7","M. lehilahytsara","Elevation",0.162,0.585,0.793
"(Intercept)8","P. candidus","(Intercept)",0.953,0.48,0.059
"CanopyHeight8","P. candidus","CanopyHeight",0.513,0.573,0.378
"Elevation8","P. candidus","Elevation",-0.18,0.382,0.645
"ForestLossProp8","P. candidus","ForestLossProp",0.133,0.337,0.701
"Ruggedness8","P. candidus","Ruggedness",0.024,0.233,0.922
