"","name","Species","mean","median","lower","upper"
"1","PA2020","Allocebus trichotis",17640,16520,7080,33445
"2","PA2020","Avahi laniger",18915,16576,5491,47533
"3","PA2020","Cheirogaleus crossleyi",102613,100674,59350,152990
"4","PA2020","Hapalemur occidentalis",184,157,20,483
"5","PA2020","Eulemur albifrons",14449,10976,559,45486
"6","PA2020","Eulemur rubriventer",4274,3616,522,12259
"7","PA2020","Lepilemur seali",16766,15441,4004,40946
"8","PA2020","Microcebus lehilahytsara",45843,44012,15305,84886
"9","PA2020","Propithecus candidus",974,636,66,3413
"10","PA2050","Allocebus trichotis",8405,7446,1426,19872
"11","PA2050","Avahi laniger",11625,9698,1877,33161
"12","PA2050","Cheirogaleus crossleyi",63778,61933,33158,100325
"13","PA2050","Hapalemur occidentalis",28,13,1,131
"14","PA2050","Eulemur albifrons",10702,8009,179,34320
"15","PA2050","Eulemur rubriventer",1630,947,61,6039
"16","PA2050","Lepilemur seali",10948,10061,2060,27809
"17","PA2050","Microcebus lehilahytsara",31080,29302,8616,60585
"18","PA2050","Propithecus candidus",621,368,17,2567
