"","Variable","Species","Importance","Estimate","sign"
"1","ForestLossProp","Albi",0.275,-0.03,"-"
"2","CanopyHeight","Albi",0.347,0.193,"+"
"3","Ruggedness","Albi",0.308,0.071,"+"
"4","Elevation","Albi",0.586,0.7,"+"
"5","ForestLossProp","Allo",0.754,0.912,"+"
"6","CanopyHeight","Allo",0.248,0.047,"+"
"7","Ruggedness","Allo",0.304,-0.13,"-"
"8","Elevation","Allo",0.359,-0.219,"-"
"9","ForestLossProp","Avahi",0.418,0.332,"+"
"10","CanopyHeight","Avahi",0.463,0.427,"+"
"11","Ruggedness","Avahi",0.423,-0.342,"-"
"12","Elevation","Avahi",0.399,-0.287,"-"
"13","ForestLossProp","Cheiro",0.406,0.331,"+"
"14","CanopyHeight","Cheiro",0.398,-0.324,"-"
"15","Ruggedness","Cheiro",0.456,-0.472,"-"
"16","Elevation","Cheiro",0.313,-0.019,"-"
"17","ForestLossProp","Hapa",0.913,0.374,"+"
"18","CanopyHeight","Hapa",0.22,0.045,"+"
"19","Ruggedness","Hapa",0.082,-0.005,"-"
"20","Elevation","Hapa",0.092,0.01,"+"
"21","ForestLossProp","Lepi",0.232,0.063,"+"
"22","CanopyHeight","Lepi",0.46,0.371,"+"
"23","Ruggedness","Lepi",0.474,-0.394,"-"
"24","Elevation","Lepi",0.315,-0.167,"-"
"25","ForestLossProp","Micro",0.435,-0.416,"-"
"26","CanopyHeight","Micro",0.458,-0.582,"-"
"27","Ruggedness","Micro",0.343,-0.147,"-"
"28","Elevation","Micro",0.33,0.149,"+"
"29","ForestLossProp","Prop",0.291,0.133,"+"
"30","CanopyHeight","Prop",0.573,0.513,"+"
"31","Ruggedness","Prop",0.217,0.024,"+"
"32","Elevation","Prop",0.337,-0.18,"-"
"33","ForestLossProp","Rubri",0.678,0.776,"+"
"34","CanopyHeight","Rubri",0.295,0.073,"+"
"35","Ruggedness","Rubri",0.278,0.083,"+"
"36","Elevation","Rubri",0.27,0.062,"+"
